Date,Close
2025-07-27,278.16
2025-07-28,274.37
2025-07-29,278.71
2025-07-30,272.96
2025-07-31,269.47
2025-08-03,261.43
2025-08-04,262.13
2025-08-05,260.0
2025-08-06,255.79
2025-08-07,258.37
2025-08-12,253.68
2025-08-13,252.0
2025-08-14,250.74
2025-08-17,254.64
2025-08-18,255.6
2025-08-19,255.31
2025-08-20,254.91
2025-08-21,254.71
2025-08-24,256.29
2025-08-25,257.76
2025-08-26,256.23
2025-08-27,260.54
2025-08-28,255.1
2025-08-31,251.38
2025-09-01,254.04
2025-09-02,254.03
2025-09-03,253.23
2025-09-04,251.76
2025-09-07,252.21
2025-09-08,288.64
