Date,Close
2025-07-27,387.32
2025-07-28,385.18
2025-07-29,392.25
2025-07-30,384.42
2025-07-31,379.74
2025-08-03,366.99
2025-08-04,373.92
2025-08-05,372.0
2025-08-06,368.4
2025-08-07,371.58
2025-08-12,376.35
2025-08-13,374.89
2025-08-14,369.19
2025-08-17,364.11
2025-08-18,364.64
2025-08-19,367.01
2025-08-20,363.4
2025-08-21,364.44
2025-08-24,361.87
2025-08-25,361.19
2025-08-26,362.1
2025-08-27,371.47
2025-08-28,376.27
2025-08-31,376.42
2025-09-01,388.77
2025-09-02,389.22
2025-09-03,381.76
2025-09-04,377.82
2025-09-07,375.01
2025-09-08,372.25
