Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,OBV
2024-11-28,320.0,324.0,318.1,323.0,101408.0,320.42857142857144,320.3371960567336,44.27480913664706,232310.0
2024-12-01,329.4,329.4,316.7,319.2,164678.0,319.9428571428571,320.1855699158358,38.666666648622225,67632.0
2024-12-02,325.5,325.5,318.1,318.6,116626.0,319.34285714285716,319.9741605937244,35.810810793873316,-48994.0
2024-12-03,324.9,324.9,314.6,317.0,85541.0,318.9142857142857,319.57760584789446,38.97058821523575,-134535.0
2024-12-04,323.3,323.3,314.3,316.5,68254.0,318.5571428571429,319.16725840150855,40.4580152455568,-202789.0
2024-12-05,310.2,317.0,310.2,313.8,99424.0,317.9142857142857,318.4516239479741,33.695652156821055,-302213.0
2024-12-08,313.8,314.0,308.2,310.0,68129.0,316.9857142857143,317.32474075491086,29.166666653579085,-370342.0
2024-12-09,310.0,313.0,304.0,307.0,65636.0,316.10714285714283,315.9481086542561,29.83606556007527,-435978.0
2024-12-10,310.0,310.0,306.9,307.5,55930.0,315.35714285714283,314.821694167022,32.32323230799581,-380048.0
2024-12-11,313.6,316.0,305.0,316.0,50740.0,315.42142857142863,314.97880161141904,51.274787515075126,-329308.0
2024-12-12,322.3,322.3,309.3,310.9,32942.0,315.20714285714286,314.43496139656315,46.17346937126458,-362250.0
2024-12-16,315.0,315.0,304.0,308.6,59124.0,314.7214285714286,313.65696654368804,41.49999998547506,-421374.0
2024-12-17,305.0,310.0,303.6,304.1,45154.0,313.7285714285714,312.382704337863,33.412887816998094,-466528.0
2024-12-18,304.5,310.0,301.0,306.0,57468.0,312.7285714285714,311.5316770928146,33.25358850560883,-409060.0
2024-12-19,306.0,309.0,300.0,300.1,108839.0,311.09285714285716,310.0074534804393,24.384787464398485,-517899.0
2024-12-22,294.1,303.9,294.1,299.0,43436.0,309.65000000000003,308.53979301638077,25.952380943730134,-561335.0
2024-12-23,299.0,302.9,293.5,302.9,71110.0,308.5285714285714,307.7878206141967,32.67108166760711,-490225.0
2024-12-24,305.0,306.0,297.0,301.0,36105.0,307.38571428571424,306.88277786563714,32.456140340912555,-526330.0
2024-12-26,300.0,315.0,296.6,307.0,70976.0,306.70714285714286,306.8984074835522,40.70450096732165,-455354.0
2024-12-29,309.0,309.0,302.0,302.1,49463.0,305.87142857142857,306.2586198190786,39.02439023365211,-504817.0
2024-12-31,302.0,302.0,296.0,299.9,46404.0,305.15000000000003,305.41080384320145,40.232108306320086,-551221.0
2025-01-01,304.5,304.5,296.0,297.9,48546.0,304.5,304.40936333077457,41.02564101431241,-599767.0
2025-01-02,300.0,300.0,294.0,299.0,36139.0,303.89285714285717,303.6881148866713,41.71539959875213,-563628.0
2025-01-05,301.9,301.9,295.9,296.7,37798.0,302.5142857142857,302.75636623511514,28.60310420398126,-601426.0
2025-01-06,296.0,302.0,295.0,302.0,44537.0,301.87857142857143,302.65551740376645,40.1766004290845,-556889.0
2025-01-07,303.0,303.0,295.1,297.0,43497.0,301.05,301.90144841659765,37.91666665560761,-600386.0
2025-01-08,299.0,300.0,294.1,296.0,48776.0,300.47142857142853,301.1145886277179,40.8988763916273,-649162.0
2025-01-12,297.0,297.0,292.2,292.7,18665.0,299.52142857142854,299.9926434773555,35.51198255997454,-667827.0
2025-01-13,292.7,294.8,291.2,291.4,43380.0,298.9,298.84695768037477,39.46731233528949,-711207.0
2025-01-15,293.0,297.0,290.0,290.0,37012.0,298.2571428571428,297.6673633229915,39.18269229450583,-748219.0
2025-01-16,290.0,294.0,288.0,291.5,52439.0,297.4428571428571,296.8450482132593,35.45918366080544,-695780.0
2025-01-19,295.0,300.9,293.5,299.8,109119.0,297.35714285714283,297.23904178482474,48.684210511368896,-586661.0
2025-01-20,299.8,302.0,292.1,293.0,28373.0,296.35714285714283,296.6738362135148,34.91379309291396,-615034.0
2025-01-21,292.1,298.0,292.0,293.0,52970.0,295.70714285714286,296.18399138504617,39.03614456514443,-615034.0
2025-01-22,298.7,302.0,292.0,298.0,114454.0,295.57142857142856,296.42612586704,47.85553045891701,-500580.0
2025-01-23,303.9,303.9,293.5,299.0,61456.0,295.65000000000003,296.76930908476805,51.27020783561704,-439124.0
2025-01-26,294.0,299.0,293.1,293.2,62843.0,295.2357142857143,296.293401206799,43.958333320512146,-501967.0
2025-01-27,298.0,298.0,292.1,292.6,60205.0,294.9428571428571,295.8009477125591,45.57235419788312,-562172.0
2025-01-28,293.1,295.0,291.1,291.1,63824.0,294.1642857142857,295.1741546842179,37.17647057598896,-625996.0
2025-02-02,294.0,301.0,294.0,298.5,61381.0,294.2714285714286,295.6176007263222,51.67037860304264,-564615.0
2025-02-03,292.6,304.9,292.6,298.8,75074.0,294.47142857142853,296.04192062947925,53.167420797639295,-489541.0
